nombre,cuidado,estación,riego,sol_directo,humedad,poda,abono,enlace_a_imagen
Jazmín,Poca sombra y suelo húmedo,3,2,1,1,1,1,[Ver Imagen](https://example.com/jazmin)
Ceibo,Luz directa y suelo húmedo,4,3,1,1,1,2,[Ver Imagen](https://example.com/ceibo)
Lapacho,Suelo bien drenado y suelo húmedo,4,3,1,1,1,2,[Ver Imagen](https://example.com/lapacho)
Ombú,Resistente y tolera sequía,1,1,2,2,2,2,[Ver Imagen](https://example.com/ombu)
Aguaribay,Poca agua y suelo seco,4,1,1,2,1,2,[Ver Imagen](https://example.com/aguaribay)
Espinillo,Poco riego y suelo seco,4,1,1,2,1,2,[Ver Imagen](https://example.com/espinillo)
Magnolia,Suelo fértil y buena luz,3,2,1,1,1,1,[Ver Imagen](https://example.com/Magnolia)
Lavanda,Suelo bien drenado y sol directo,4,1,1,2,2,2,[Ver Imagen](https://example.com/lavanda)
Sauce llorón,Suelo húmedo y tolera encharcamiento,2,3,2,1,1,1,[Ver Imagen](https://example.com/sauce)
Albahaca,Mucha luz y suelo húmedo,4,2,1,1,1,1,[Ver Imagen](https://example.com/albahaca)
Sarandí Colorado,Suelo húmedo y tolera inundación,3,2,2,1,1,2,[Ver Imagen](https://example.com/sarandi)
Arrayán,Luz filtrada y suelo fértil,4,2,2,3,1,1,[Ver Imagen](https://example.com/arrayan)
Curupí,Suelo húmedo y luz indirecta,1,2,2,1,2,2,[Ver Imagen](https://example.com/curupi)
Espina de la Cruz,Suelo seco y resistente,2,1,1,2,1,2,[Ver Imagen](https://example.com/espina)
Tala,Suelo arcilloso y sol directo,1,1,1,2,1,2,[Ver Imagen](https://example.com/tala)
Pitanga,Suelo fértil y luz moderada,3,2,2,3,1,1,[Ver Imagen](https://example.com/pitanga)
Chañar,Suelo árido y pleno sol,4,1,1,2,1,2,[Ver Imagen](https://example.com/chanar)
Molle,Poco riego y suelo seco,4,1,1,2,1,2,[Ver Imagen](https://example.com/molle)
Mariposita (Oxalis),Suelo húmedo y sombra parcial,3,2,2,1,1,2,[Ver Imagen](https://example.com/mariposita)
Ñandubay,Suelo seco y resistente,4,1,1,2,1,2,[Ver Imagen](https://example.com/nandubay)
Lantana,Suelo bien drenado y pleno sol,3,2,1,2,2,2,[Ver Imagen](https://example.com/lantana)
Duraznillo Blanco,Suelo arenoso y tolera sequía,4,1,1,2,2,2,[Ver Imagen](https://example.com/duraznillo)
Canelón,Suelo fértil y luz filtrada,3,2,2,3,1,2,[Ver Imagen](https://example.com/canelon)
Timbó,Suelo húmedo y luz directa,4,3,1,1,1,1,[Ver Imagen](https://example.com/timbo)
Guayabo del País,Suelo bien drenado y sol parcial,3,2,1,3,1,1,[Ver Imagen](https://example.com/guayabo)
Espinillo Blanco,Poco riego y  suelo seco,2,1,1,2,1,2,[Ver Imagen](https://example.com/espinilloblanco)
Guaviyú,Suelo húmedo y luz indirecta,4,2,2,1,1,2,[Ver Imagen](https://example.com/guaviyu)
Algarrobo,Suelo seco y resistente,1,1,1,2,2,2,[Ver Imagen](https://example.com/algarrobo)
Yerba Mate,Suelo fértil y sombra parcial,3,2,2,1,1,1,[Ver Imagen](https://example.com/yerbamate)
Arrayán de Monte,Suelo húmedo y luz filtrada,2,2,2,3,1,2,[Ver Imagen](https://example.com/arrayanmonte)
Pezuña de Vaca,Suelo fértil y sol directo,3,2,1,3,1,1,[Ver Imagen](https://example.com/pezuñavaca)
Palo Borracho,Suelo bien drenado y luz directa,4,1,1,2,1,2,[Ver Imagen](https://example.com/paloborracho)
Garabato Colorado,Suelo arenoso y resistente,1,1,1,2,1,2,[Ver Imagen](https://example.com/garabato)
Jume,Suelo salino y sol directo,4,1,1,2,1,2,[Ver Imagen](https://example.com/jume)
Ñangapirí,Suelo fértil y luz filtrada,3,2,2,3,1,1,[Ver Imagen](https://example.com/nangapiri)
Palo Amarillo,Suelo húmedo y luz indirecta,4,2,2,1,1,2,[Ver Imagen](https://example.com/paloamarillo)
Esqueleto de Mono,Suelo seco y resistente,1,1,1,2,1,2,[Ver Imagen](https://example.com/esqueleto)
Ceibillo,Suelo fértil y luz directa,3,2,1,3,1,2,[Ver Imagen](https://example.com/ceibillo)
Ombú de Monte,Suelo arenoso y tolera sequía,4,1,1,2,2,2,[Ver Imagen](https://example.com/ombumonte)
Guaraniná,Suelo fértil y sombra parcial,1,2,2,1,1,1,[Ver Imagen](https://example.com/guaranina)
Chilca,Suelo húmedo y luz indirecta,3,3,2,1,1,2,[Ver Imagen](https://example.com/chilca)
Coronilla,Suelo bien drenado y sol directo,3,1,1,2,1,2,[Ver Imagen](https://example.com/coronilla)
Achira,Suelo húmedo y sombra parcial,4,2,2,1,1,1,[Ver Imagen](https://example.com/achira)
Palo Santo,Suelo arenoso y pleno sol,1,1,1,2,1,2,[Ver Imagen](https://example.com/palosanto)
Chal Chal,Suelo fértil y sombra parcial,3,2,2,1,1,2,[Ver Imagen](https://example.com/chalchal)
Cardo Santo,Suelo seco y tolera sequía,4,1,1,2,2,2,[Ver Imagen](https://example.com/cardosanto)
Guavira,Suelo húmedo y luz filtrada,3,2,2,3,1,1,[Ver Imagen](https://example.com/guavira)
Ligustro,Suelo fértil y luz indirecta,2,2,2,3,1,2,[Ver Imagen](https://example.com/ligustro)
Murta,Suelo húmedo y sombra parcial,1,2,2,1,1,1,[Ver Imagen](https://example.com/murta)
Laurel Criollo,Suelo fértil y sol directo,3,2,1,3,1,2,[Ver Imagen](https://example.com/laurelcriollo)
Pata de Buey,Suelo seco y pleno sol,4,1,1,2,2,2,[Ver Imagen](https://example.com/patadebuey)
Verbena,Suelo bien drenado y luz directa,4,1,1,2,1,2,[Ver Imagen](https://example.com/verbena)
Malvavisco,Suelo húmedo y sombra parcial,3,2,2,1,1,1,[Ver Imagen](https://example.com/malvavisco)
Mataojo,Suelo fértil y sombra parcial,4,2,2,3,1,2,[Ver Imagen](https://example.com/mataojo)
Sen del Campo,Suelo bien drenado y luz directa,4,1,1,2,1,2,[Ver Imagen](https://example.com/sendelcampo)
Chilca Amarilla,Suelo seco y pleno sol,1,1,1,2,2,2,[Ver Imagen](https://example.com/chilcaamarilla)
Trébol Blanco,Suelo húmedo y sol directo,3,2,1,3,1,1,[Ver Imagen](https://example.com/treblanco)
Carqueja,Suelo arenoso y sol directo,2,1,1,2,1,2,[Ver Imagen](https://example.com/carqueja)
Esparraguera,Suelo fértil y luz filtrada,3,2,2,1,1,1,[Ver Imagen](https://example.com/esparraguera)
Malvón,Suelo bien drenado y sol directo,4,1,1,2,1,2,[Ver Imagen](https://example.com/malvon)
Hiedra,Suelo fértil y sombra parcial,2,2,2,1,1,1,[Ver Imagen](https://example.com/hiedra)
Margarita de Río,Suelo húmedo y sol parcial,3,2,2,3,1,2,[Ver Imagen](https://example.com/margarita)
Senecio,Suelo arenoso y pleno sol,1,1,1,2,1,2,[Ver Imagen](https://example.com/senecio)
Palo de Fierro,Suelo bien drenado y pleno sol,4,1,1,2,1,2,[Ver Imagen](https://example.com/palodefierro)
Tuna Brava,Suelo seco y pleno sol,1,1,1,2,2,2,[Ver Imagen](https://example.com/tunabrava)
Espina de Cruz,Suelo arenoso y pleno sol,2,1,1,2,1,2,[Ver Imagen](https://example.com/espinacruz)
Lantana Monte,Suelo bien drenado y luz filtrada,4,2,2,3,1,1,[Ver Imagen](https://example.com/lantanamonte)
Barba de Chivo,Suelo fértil y luz directa,3,2,1,3,1,2,[Ver Imagen](https://example.com/barbadechivo)
Árbol del Cielo,Suelo húmedo y pleno sol,4,3,1,1,1,2,[Ver Imagen](https://example.com/arboldelcielo)
Palo Azul,Suelo seco y pleno sol,3,1,1,2,1,2,[Ver Imagen](https://example.com/paloazul)
Cola de Zorro,Suelo bien drenado y luz filtrada,4,2,2,3,1,2,[Ver Imagen](https://example.com/coladezorro)
Palo Verde,Suelo arenoso y pleno sol,1,1,1,2,1,2,[Ver Imagen](https://example.com/paloverde)
Caña Brava,Suelo húmedo y sombra parcial,3,2,2,1,1,1,[Ver Imagen](https://example.com/canabrava)
Chachafruto,Suelo fértil y luz directa,4,2,1,3,1,2,[Ver Imagen](https://example.com/chachafruto)
Tembetari,Suelo seco y pleno sol,2,1,1,2,1,2,[Ver Imagen](https://example.com/tembetari)
Bignonia,Suelo húmedo y sombra parcial,4,3,2,1,1,1,[Ver Imagen](https://example.com/Bignonia)
Echeveria,Suelo seco y sol parcial,3,1,1,2,2,2,[Ver Imagen](https://example.com/echeveria)
Sedum Morganianum,Suelo arenoso y luz indirecta,1,1,2,3,2,2,[Ver Imagen](https://example.com/sedummorganianum)
Graptopetalum,Suelo seco y pleno sol,3,1,1,2,2,2,[Ver Imagen](https://example.com/graptopetalum)
Kalanchoe,Suelo bien drenado y luz indirecta,4,2,2,3,1,1,[Ver Imagen](https://example.com/kalanchoe)
Crassula Ovata,Suelo arenoso y pleno sol,1,1,1,2,2,2,[Ver Imagen](https://example.com/crassulaovata)
Haworthia,Suelo húmedo y luz indirecta,3,2,2,3,2,2,[Ver Imagen](https://example.com/haworthia)
Agave Attenuata,Suelo seco y pleno sol,4,1,1,2,2,2,[Ver Imagen](https://example.com/agaveattenuata)
Lithops,Sueloarenoso y luz indirecta,1,1,2,2,2,2,[Ver Imagen](https://example.com/lithops)
Senecio Rowleyanus,Suelo bien drenado y luz indirecta,3,1,2,2,2,2,[Ver Imagen](https://example.com/seneciorowleyanus)
Euphorbia Milii,Suelo fértil y pleno sol,4,2,1,3,1,1,[Ver Imagen](https://example.com/euphorbiamilii)
Adromischus,Suelo seco y pleno sol,1,1,1,2,2,2,[Ver Imagen](https://example.com/adromischus)
Aeonium,Suelo bien drenado y pleno sol,3,1,1,2,2,2,[Ver Imagen](https://example.com/aeonium)
Dudleya,Suelo arenoso y pleno sol,4,1,1,2,2,2,[Ver Imagen](https://example.com/dudleya)
Pachyphytum,Suelo bien drenado y luz indirecta,1,1,2,3,2,2,[Ver Imagen](https://example.com/pachyphytum)
Cotyledon,Suelo arenoso y pleno sol,4,2,1,3,1,2,[Ver Imagen](https://example.com/cotyledon)
Graptosedum,Suelo seco y luz filtrada,3,1,2,3,2,2,[Ver Imagen](https://example.com/graptosedum)
Orostachys,Suelo fértil y pleno sol,1,1,1,2,2,2,[Ver Imagen](https://example.com/orostachys)
Portulacaria Afra,Suelo bien drenado y pleno sol,4,2,1,2,2,2,[Ver Imagen](https://example.com/portulacaria)
Sempervivum,Suelo seco y luz filtrada,1,1,2,3,2,2,[Ver Imagen](https://example.com/sempervivum)
Echeveria Setosa,Suelo arenoso y pleno sol,3,1,1,2,2,2,[Ver Imagen](https://example.com/echeveriasetosa)
Fenestraria,Sueloarenoso y luz indirecta,4,1,2,3,2,2,[Ver Imagen](https://example.com/fenestraria)
Monanthes,Suelo fértil y pleno sol,1,1,1,2,2,2,[Ver Imagen](https://example.com/monanthes)
Anacampseros,Suelo bien drenado y luz filtrada,3,2,2,3,2,2,[Ver Imagen](https://example.com/anacampseros)
Gasteria,Sueloarenoso y sombra parcial,4,1,2,3,2,2,[Ver Imagen](https://example.com/gasteria)
Echeveria Pulvinata,Suelo bien drenado y pleno sol,3,1,1,2,2,2,[Ver Imagen](https://example.com/echeveriapulvinata)
Peperomia Graveolens,Suelo húmedo y luz indirecta,1,2,2,1,1,2,[Ver Imagen](https://example.com/peperomiagraveolens)
Senecio Herreianus,Sueloarenoso y luz indirecta,3,1,2,2,2,2,[Ver Imagen](https://example.com/senecioherreianus)
Kalanchoe Thyrsiflora,Suelo bien drenado y pleno sol,4,1,1,2,2,2,[Ver Imagen](https://example.com/kalanchoethyrsiflora)
Crassula Capitella,Suelo arenoso y pleno sol,1,1,1,2,1,2,[Ver Imagen](https://example.com/crassulacapitella)
Pachyveria,Suelo seco y pleno sol,3,1,1,2,2,2,[Ver Imagen](https://example.com/pachyveria)
Echeveria Agavoides,Suelo bien drenado y pleno sol,1,1,1,2,2,2,[Ver Imagen](https://example.com/echeveriaagavoides)
Aeonium Arboreum,Suelo seco y pleno sol,3,1,1,2,2,2,[Ver Imagen](https://example.com/aeoniumarboreum)
Plectranthus,Suelo húmedo y sombra parcial,4,2,2,3,1,1,[Ver Imagen](https://example.com/plectranthus)
Graptopetalum Paraguayense,Suelo arenoso y pleno sol,3,1,1,2,2,2,[Ver Imagen](https://example.com/graptopetalumparaguayense)
Faucaria,Suelo bien drenado y pleno sol,1,1,1,2,2,2,[Ver Imagen](https://example.com/faucaria)
Tylecodon,Sueloarenoso y luz filtrada,3,2,2,3,2,2,[Ver Imagen](https://example.com/tylecodon)
Oscularia Deltoides,Suelo seco y pleno sol,1,1,1,2,2,2,[Ver Imagen](https://example.com/osculariadeltoides)
Cotyledon Orbiculata,Suelo bien drenado y luz filtrada,4,2,2,3,2,2,[Ver Imagen](https://example.com/cotyledo2rbiculata)
Sedum Nussbaumerianum,Suelo seco y pleno sol,3,1,1,2,2,2,[Ver Imagen](https://example.com/sedumnussbaumerianum)
Anacampseros Rufescens,Sueloarenoso y luz indirecta,3,1,2,3,2,2,[Ver Imagen](https://example.com/anacampserosrufescens)
Delosperma,Suelo bien drenado y pleno sol,4,1,1,2,2,2,[Ver Imagen](https://example.com/delosperma)
Sedum Spurium,Suelo arenoso y pleno sol,1,1,1,2,2,2,[Ver Imagen](https://example.com/sedumspurium)
Echinopsis,Suelo seco y pleno sol,3,1,1,2,1,2,[Ver Imagen](https://example.com/Echinopsis)
Euphorbia Obesa,Suelo bien drenado y luz indirecta,4,1,2,3,2,2,[Ver Imagen](https://example.com/euphorbiaobesa)
Lithops Julii,Suelo arenoso y pleno sol,1,1,1,2,2,2,[Ver Imagen](https://example.com/lithopsjulii)
Cereus Peruvianus,Suelo seco y pleno sol,3,1,1,2,2,2,[Ver Imagen](https://example.com/cereusperuvianus)
Opuntia Microdasys,Suelo arenoso y pleno sol,4,1,1,2,2,2,[Ver Imagen](https://example.com/opuntiamicrodasys)
Trichocereus,Suelo bien drenado y pleno sol,3,1,1,2,1,2,[Ver Imagen](https://example.com/trichocereus)
Mammillaria,Suelo seco y pleno sol,1,1,1,2,2,2,[Ver Imagen](https://example.com/mammillaria)
